Skill,Turkce_Skill
U.S. Generally Accepted Accounting Principles (GAAP),ABD Genel Kabul Görmüş Muhasebe İlkeleri
U.S. Food and Drug Administration (FDA),U.S. Food and Drug Administration (FDA)
U.S. Federal Communications Commission (FCC),U.S. Federal Communications Commission (FCC)
U.S. Fair Debt Collection Practices Act (FDCPA),U.S. Fair Debt Collection Practices Act (FDCPA)
U.S. FHA Financing,ABD FHA Finansmanı
U.S. Equal Employment Opportunity Commission (EEOC),ABD Eşit İstihdam Fırsatları Komisyonu
U.S. Department of Defense,ABD Savunma Bakanlığı
U.S. Department of Agriculture (USDA),U.S. Department of Agriculture (USDA)
U.K. Generally Accepted Accounting Principles (GAAP),Birleşik Krallık Genel Kabul Görmüş Muhasebe İlkeleri
Typo3,Typo3
Typing,Daktilo Yazısı
Typewriter,Daktilo
Typesetting,Dizgi
TypeScript,TypeScript
Type Systems,Tip Sistemleri
Type Rating,Tip Derecelendirmesi
Type Design,Yazı Tipi Tasarımı
Type 1 Diabetes,Type 1 Diabetes
TyMetrix,TyMetrix
Two-way Radio,İki Yönlü Radyo
Two-phase Flow,İki Fazlı Akış
Two-factor Authentication,İki Faktörlü Kimlik Doğrulama
Twitter Marketing,Twitter Pazarlaması
Twitter API,Twitter API
Twisted,Twisted
Twist,Bükülme
Twill,Twill
Twig (Template Engine),Twig (Template Engine)
TweetDeck,TweetDeck
Tuxedos,Tuxedos
Tuxedo,Tuxedo
Turnover,Ciro
Turnkey Projects,Anahtar Teslim Projeleri
Turnaround Strategy,Yeniden Yapılanma Stratejisi
Turnaround Specialist,Yeniden Yapılanma Uzmanı
Turnaround Initiatives,Yeniden Yapılanma Girişimleri
Turn Around Management,Yeniden Yapılanma Yönetimi
Turkish,Türkçe
Turf,Çim
Turbulence,Türbülans
Turbomachinery,Türbomakine
Turbo Tax,Turbo Tax
Turbo C++,Turbo C++
Turbo C,Turbo C
Tunnels,Tüneller
Tunneling,Tünel Açma
Tungsten,Tungsten
Tune-ups,Ayarlar
Tumor Immunology,Tümör İmmünolojisi
Tumblr,Tumblr
Java Web Services,Java Web Services
IBM pSeries,IBM pSeries
UST,UST
USPS,USPS
USPAP,USPAP
USP,USP
USIM,USIM
USGBC,USGBC
USDA,USDA
USCG Captain,USCG Captain
USB3.0,USB3.0
USA PATRIOT Act,USA PATRIOT Act
US GAAP,ABD Genel Kabul Görmüş Muhasebe İlkeleri
URL Rewriting,URL Yeniden Yazma
URL Filtering,URL Filtreleme
UPnP,UPnP
UPS Shipping,UPS Shipping
UPK,UPK
UPF,UPF
UPC,UPC
UNIX Utilities,UNIX Yardımcı Programları
UNFCCC,UNFCCC
UMTS,UMTS
UML,UML
UMA,UMA
UK Tax,Birleşik Krallık Vergisi
UK Payroll,Birleşik Krallık Bordro
UK Law,Birleşik Krallık Kanunu
UK Employment Law,Birleşik Krallık İstihdam Kanunu
UK Corporation Tax,Birleşik Krallık Kurumlar Vergisi
UK Bribery Act,Birleşik Krallık Rüşvet Yasası
UIM,UIM
UIKit,UIKit
UHF,UHF
UGS,UGS
UG,UG
UFC,UFC
UF/DF,UF/DF
UEFI,UEFI
UE,UE
UDDI,UDDI
UCaaS,UCaaS
UCS,UCS
UCP 600,UCP 600
UCP,UCP
UCM,UCM
UCCE,UCCE
UCC filings,UCC Dosyalamaları
UBD,UBD
UB92,UB92
UB04,UB04
UAV,UAV
UART,UART
UAG,UAG
U.S. VA Loans,ABD VA Kredileri
U.S. SEC Filings,ABD SEC Dosyalamaları
U.S. National Incident Management System (NIMS),ABD Ulusal Olay Yönetim Sistemi (NIMS)
Influence Without Authority,Yetki Olmadan Etki
Uniform Data Systems (UDS),Tek Tip Veri Sistemleri (UDS)
Unified Threat Management,Birleşik Tehdit Yönetimi
Unified Messaging,Birleşik Mesajlaşma
Unified Communications,Birleşik İletişim
Unicenter TNG,Unicenter TNG
Unfuddle,Unfuddle
Unfair Trade Practices,Haksız Ticaret Uygulamaları
Unfair Competition,Haksız Rekabet
Underwater Video,Sualtı Videosu
Underwater,Sualtı
Underground Structures,Yeraltı Yapıları
Underground Storage Tanks,Yeraltı Depolama Tankları
Underground Mining,Yeraltı Madenciliği
Underfloor Heating,Döşeme Altı Isıtma
Undercover,Gizli
Underbalanced Drilling,Dengelenmemiş Sondaj
Unconventional,Alışılmadık
Uncertainty Analysis,Belirsizlik Analizi
Uncertainty,Belirsizlik
Unanet,Unanet
Umbrellas,Şemsiyeler
Umbrella Insurance,Şemsiye Sigortası
Umbraco,Umbraco
Umbilicals,Göbek Kordonları
Ultrasonic Welding,Ultrasonik Kaynak
Ultrasonic Testing,Ultrasonik Test
Ultramicrotomy,Ultramikrotomi
Ultrafiltration,Ultrafiltrasyon
UltraVNC,UltraVNC
UltraTax CS,UltraTax CS
UltraTax,UltraTax
Ultra Low Latency,Ultra Düşük Gecikme
Ultipro,Ultipro
Ultimate Frisbee,Ultimate Frisbee
Ultimaker Cura,Ultimaker Cura
Ultiboard,Ultiboard
Ulead,Ulead
Ukulele,Ukulele
Ukrainian,Ukraynaca
UiPath,UiPath
Ubuntu,Ubuntu
Ubiquitous Computing,Her Yerde Bilgi İşlem
Ubiquiti,Ubiquiti
UXPin,UXPin
UX Research,Kullanıcı Deneyimi Araştırması
UVM,UVM
UVLayout,UVLayout
UV/Vis Spectroscopy,UV/Görünür Spektroskopi
UV/Vis,UV/Görünür
UV-Vis-NIR,UV-Görünür-Yakın Kızılötesi
UV Mapping,UV Haritalama
UTRAN,UTRAN
Industrial Robots,Endüstriyel Robotlar
Urinalysis,İdrar Tahlili
Urgency,Aciliyet
Urethane,Üretan
Urdu,Urdu
Urbanism,Kentçilik
Urban Studies,Kentsel Çalışmalar
Urban Sociology,Kentsel Sosyoloji
Urban Search,Kentsel Arama
Urban Redevelopment,Kentsel Yeniden Gelişme
Urban Planning,Kentsel Planlama
Urban Geography,Kentsel Coğrafya
Urban Gardening,Kentsel Bahçecilik
Urban Forestry,Kentsel Ormancılık
Urban Fantasy,Kentsel Fantazi
Urban Drainage,Kentsel Drenaj
Urban Agriculture,Kentsel Tarım
Urban,Kentsel
Uranium,Uranyum
Uptime,Çalışma Süresi
Upstream Oil and Gas,Yukarı Akış Petrol ve Doğalgaz
Upstream Marketing,Yukarı Akış Pazarlaması
Upstream,Yukarı Akış
Upper Cervical,Üst Servikal
Upholstery Cleaning,Döşemecilik Temizliği
Upholstery,Döşemecilik
Updos,Updos
Update Manager,Güncelleme Yöneticisi
Upcycling,Yukarı Dönüşüm
Up-selling,Yukarı Satış
Unstructured Data,Yapılandırılmamış Veri
Unsecured Loans,Teminatsız Krediler
UnrealScript,UnrealScript
Unreal Engine 3,Unreal Engine 3
Unreal Engine,Unreal Engine
Unreal 3,Unreal 3
Unobtrusive Javascript,Unobtrusive Javascript
Unmanned Vehicles,İnsansız Araçlar
Unloading,Boşaltma
Unlawful Detainer,Unlawful Detainer
Unix Administration,Unix Yönetimi
University Lecturing,Üniversite Öğretim Görevliliği
Universal Verification Methodology (UVM),UVM
Universal Mobile Telecommunications System (UMTS),UMTS
Universal Life Insurance,Evrensel Hayat Sigortası
Universal Life,Evrensel Hayat
Unity3D,Unity3D
Unity,Unity
Unit Trusts,Unit Trusts
Union Relations,Sendika İlişkileri
Union Avoidance,Sendika Kaçınma
Union Agreements,Sendika Anlaşmaları
Java Naming and Directory Interface (JNDI),JNDI
VC#,VC#
VBScript,VBScript
VBAC,VBAC
VBA Programming,VBA Programlama
VBA Excel,VBA Excel
VB5,VB5
VAX,VAX
VAVE,VAVE
VAV,VAV
VAT Registration,KDV Kayıt
VAST,VAST
VAS,VAS
VAR,VAR
VAPT,VAPT
VAPS,VAPS
VAD,VAD
V-Ray,V-Ray
V+,V+
V Lookups,V Aramaları
Uveitis,Üveit
Utilization Review,Kullanım İncelemesi
Utilization Management,Kullanım Yönetimi
Utility Systems,Kamu Hizmeti Sistemleri
Utility Mapping,Kamu Hizmeti Haritalaması
Utility Locating,Kamu Hizmeti Yer Tespiti
Utility Law,Kamu Hizmeti Hukuku
Utility Industry,Kamu Hizmeti Endüstrisi
Utility Computing,Kamu Hizmeti Bilgi İşlemi
Utilities Management,Kamu Hizmetleri Yönetimi
Ushering,Ushering
UserZoom UX Insights,UserZoom UX İçgörüleri
User-centered Design,Kullanıcı Merkezli Tasarım
User Stories,Kullanıcı Hikayeleri
User Research,Kullanıcı Araştırması
User Personas,Kullanıcı Kişilikleri
User Journeys,Kullanıcı Yolculukları
User Interface,Kullanıcı Arayüzü
User Generated Content,Kullanıcı Üretimi İçerik
User Friendly,Kullanıcı Dostu
User Experience Writing,Kullanıcı Deneyimi Yazımı
User Experience Design (UED),Kullanıcı Deneyimi Tasarımı
User Experience (UX),Kullanıcı Deneyimi
User Experience,Kullanıcı Deneyimi
User Exits,Kullanıcı Çıkışları
User Datagram Protocol (UDP),UDP
Use Tax,Kullanım Vergisi
Use Case Analysis,Kullanım Durumu Analizi
Usage Analysis,Kullanım Analizi
Usability Testing,Kullanılabilirlik Testi
Usability Labs,Kullanılabilirlik Laboratuvarları
Urogynecology,Ürojinekoloji
Urodynamics,Ürodinamik
Java AWT,Java AWT
VSE,VSE
VSD,VSD
VSCO,VSCO
VSAM,VSAM
VSA,VSA
VRTX,VRTX
VRS,VRS
VRRP,VRRP
VRF,VRF
VPython,VPython
VPN,VPN
VPLS,VPLS
VOS,VOS
VOD,VOD
VO,VO
VNC,VNC
VMware vSphere,VMware vSphere
VMware vCenter,VMware vCenter
VMware Workstation,VMware Çalışma İstasyonu
VMware View,VMware View
VMware VTSP,VMware VTSP
VMware Infrastructure,VMware Altyapısı
VMware Horizon View,VMware Horizon View
VMware Fusion,VMware Fusion
VMware ESX,VMware ESX
VMware,VMware
VMWare ESXi,VMware ESXi
VMI Programs,VMI Programları
VMI,VMI
VMEbus,VMEbus
VMD,VMD
VM/CMS,VM/CMS
VM,VM
VLSI,VLSI
VLS,VLS
VLOOKUP,VLOOKUP
VLL,VLL
VLDB,VLDB
VLAN,VLAN
VIP management,VIP yönetimi
VIP Services,VIP Hizmetleri
VIP,VIP
VIOS,VIOS
VIO,VIO
VHS,VHS
VHDL-AMS,VHDL-AMS
VHDA,VHDA
VGA,VGA
VFX Supervision,VFX Denetimi
VESDA,VESDA
VDSL2,VDSL2
VDM,VDM
VDI,VDI
VDA,VDA
VCO,VCO
VCM,VCM
Variance Swaps,Varyans Swapları
Variance Reports,Varyans Raporları
Variance Explanations,Varyans Açıklamaları
Variance Analysis,Varyans Analizi
Varian,Varian
Variable Products,Değişken Ürünler
Variable Pay Design,Değişken Ücret Tasarımı
Variable Life,Değişken Hayat
Variable Frequency Drives,Değişken Frekans Sürücüler
Variable Data Printing,Değişken Veri Baskısı
Variable Annuities,Değişken Yıllık Gelirler
Vantive,Vantive
Vantage-One,Vantage-One
Valves,Valfler
Valve Hammer Editor,Valve Çekiç Editörü
Values Alignment,Değerlerin Uyumu
Value-at-Risk (VAR) Calculations,Riskteki Değer (VAR) Hesaplamaları
Value-added,Değer Artırma
Value Stream Mapping,Değer Akışı Haritalama
Value Selling,Değerli Satış
Vontu,Vontu
Value Investing,Değer Yatırımı
Value Enhancement,Değer Geliştirme
Value Chain Analysis,Değer Zinciri Analizi
Value Based Selling,Değere Dayalı Satış
Validation Rules,Doğrulama Kuralları
Validation Protocol,Doğrulama Protokolu
Vagrant,Vagrant
Vacuum Pumps,Vakum Pompaları
Vacuum Forming,Vakum Şekillendirme
Vacuum Distillation,Vakum Damıtma
Vacuum Chambers,Vakum Odaları
Vacuum,Vakum
Vaccines,Aşılar
Vacation Planning,Tatil Planlaması
Vacation Homes,Tatil Evleri
Vacation,Tatil
Vacant Lots,Boş Parseller
Vacant Land,Boş Arazi
Vaastu,Vaastu
Vaadin,Vaadin
VXML,VXML
VW,VW
VTune,VTune
VTS,VTS
VTR,VTR
VTL,VTL
VTC,VTC
VSX,VSX
VSTS,VSTS
VSTO,VSTO
VSS,VSS
VSP 4,VSP 4
Japanese History,Japon Tarihi
Version One,Version One
Version Control,Sürüm Kontrolü
Versatile Writer,Çok Yönlü Yazar
Veritas Volume Manager,Veritas Birim Yöneticisi
Veritas Storage Foundation,Veritas Depolama Vakfı
Veritas,Veritas
Verilog-AMS,Verilog-AMS
Verilog,Verilog
Verbal Behavior,Sözel Davranış
Venue Relations,Mekan İlişkileri
Venue Dressing,Mekan Giydirme
Venue,Mekan
Venture Philanthropy,Girişim Hayırseverliği
Venture Financing,Girişim Finansmanı
Ventilators,Ventilatörler
Ventilation,Havalandırma
Veneers,Kaplamalar
Vendor Relationship Management,Tedarikçi İlişkileri Yönetimi
Vendor Relations,Tedarikçi İlişkileri
Vendor Management,Tedarikçi Yönetimi
Vendor Managed Inventory,Tedarikçi Yönetimli Stok
Velocity Templates,Hız Şablonları
Velocity,Hız
Vehicle-to-grid Integration (VGI),Araçtan Şebekeye Entegrasyon (VGI)
Vehicle Routing,Araç Rotalama
Vehicle Remarketing,Araç Tekrar Pazarlama
Vehicle Maintenance,Araç Bakımı
Vehicle Lettering,Araç Harfleme
Vehicle Graphics,Araç Grafikleri
Vehicle Extrication,Araç Kurtarma
Vehicle Engineering,Araç Mühendisliği
Vehicle Dynamics,Araç Dinamiği
Vegetation Management,Bitki Yönetimi
Vegetation,Bitki Örtüsü
Vegetarian Nutrition,Vejetaryen Beslenme
Vegetarian,Vejetaryen
Vegetables,Sebzeler
Vegetable Gardening,Sebze Bahçeciliği
Vegan,Vegan
Veeva,Veeva
Veeam,Veeam
Vedic Astrology,Veda Astrolojisi
Vectors,Vektörler
Vault,Kasa
Vasont,Vasont
Vases,Vazolar
Vasectomy,Vazektomi
Vascular Surgery,Damar Cerrahisi
Vascular,Damar
Vasari,Vasari
Varnish,Vernik
Japanese Cuisine,Japon Mutfağı
Virtual DJ,Virtual DJ
Virology,Virüs Bilimi
Viral Vectors,Viral Vektörler
Viper,Viper
Violin,Keman
Viola,Viola
Vinyl Siding,Vinil Kenar Kaplaması
Vinyl Cutting,Vinil Kesme
Vinyl,Vinil
Vinyasa,Vinyasa
Vimeo,Vimeo
Vim,Vim
Villas,Villalar
Vignette Portal,Vignette Portal
Vignette CMS,Vignette CMS
Vignette,Vignette
Vietnamese,Vietnamlı
Videography,Görüntü Yönetimi
Video over IP,IP Üzerinden Video
Video Walls,Video Duvarları
Video Post-Production,Video Sonrası Prodüksiyon
Video Podcasts,Video Podcast'leri
Video Games,Video Oyunları
Video Game Journalism,Video Oyun Gazeteciliği
Video Editing,Video Düzenleme
Video Conferencing,Video Konferans
Video Compression,Video Sıkıştırma
Video Blogging,Video Blogculuk
Victims Of Crime,Suç Mağdurları
Victim Services,Mağdur Hizmetleri
Vicon,Vicon
Vice Presidents,Başkan Yardımcıları
Vibrational Healing,Titreşimli Şifa
Vibration Testing,Titreşim Testi
Vibration Isolation,Titreşim Yalıtımı
Vibes,Vibes
ViPR,ViPR
Vetting,Vetting
Veterinary Surgery,Veteriner Cerrahisi
Veterinary Public Health,Veteriner Halk Sağlığı
Veterinary Pathology,Veteriner Patolojisi
Veterinary Medicine,Veterinerlik Tıbbı
Veterinary Client Education,Veteriner Müşteri Eğitimi
Veterinary,Veterinerlik
Veterans Law,Gaziler Hukuku
Veterans Benefits,Gazilere Yararları
Veterans Affairs,Gaziler İşleri
Veterans,Gaziler
Vestibular,Vestibüler
Vessels,Damarlar
Vessel Operations,Gemi Operasyonları
Vessel Management,Gemi Yönetimi
Jacl,Jacl
Voice &amp; Accent,Voice &amp; Accent
Vocera,Vocera
Vocational Evaluation,Mesleki Değerlendirme
WDK,WDK
Vocation,Meslek
Vocals,Vokaller
Vocal Range,Vokal Aralığı
Vocal Music,Vokal Müziği
Vocal Jazz,Vokal Caz
Vocal,Vokal
Vocabulary Development,Kelime Hazinesi Gelişimi
Vocabulary,Kelime Hazinesi
VoIP,VoIP
Vlookup,Vlookup
Vizio,Vizio
VizRT,VizRT
Viz,Viz
Vivarium,Vivarium
Vitria,Vitria
Vitiligo,Vitiligo
Viticulture,Bağcılık
Vitamins,Vitaminler
Vital Signs,Hayati Belirtiler
Visualforce Pages,Visualforce Sayfaları
Visual Styling,Görsel Stil
Visual Studio,Visual Studio
Visual SourceSafe (VSS),Visual SourceSafe (VSS)
Visual SVN,Visual SVN
Visual Odometry,Görsel Odometri
Visual Merchandising,Görsel Satıcılık
Visual Identity,Görsel Kimlik
Visual Effects,Görsel Efektler
Visual Design,Görsel Tasarım
Visual C++,Visual C++
Visual C#,Visual C#
Visual Basic .NET (VB.NET),Visual Basic .NET (VB.NET)
Visual Arts,Görsel Sanatlar
Visual Aids,Görsel Yardımcılar
Vision Mixing,Vizyon Karıştırma
Visas,Vize
Virus Removal,Virüs Temizleme
Virtual Tours,Sanal Turlar
Virtual Teams,Sanal Takımlar
Virtual Server,Sanal Sunucu
Virtual Routing and Forwarding (VRF),Sanal Yönlendirme ve İletim (VRF)
Virtual Reference,Sanal Referans
Virtual Reality (VR),Sanal Gerçeklik (VR)
Virtual Reality,Sanal Gerçeklik
Virtual Private Network (VPN),Sanal Özel Ağ (VPN)
Virtual PC,Sanal PC
Virtual Machines,Sanal Makineler
Virtual Desktop,Sanal Masaüstü
JVA,JVA
WAWF,WAWF
WASP,WASP
WAP Push,WAP Push
WAP,WAP
WAN,WAN
WAMP,WAMP
WAIS,WAIS
WAIK,WAIK
WAI-ARIA,WAI-ARIA
WAI,WAI
WAAS,WAAS
Vyond Animation Software,Vyond Animation Software
Vyatta,Vyatta
VyOS,VyOS
VxWorks,VxWorks
VxFS,VxFS
Vulnerability Research,Güvenlik Açığı Araştırması
Vulnerability Management,Güvenlik Açığı Yönetimi
Vulnerability Assessment,Güvenlik Açığı Değerlendirmesi
Vulnerability,Güvenlik Açığı
Vulkan API,Vulkan API
Vulcan,Vulcan
Vuex,Vuex
Vtiger,Vtiger
Vsftpd,Vsftpd
Vray,Vray
Vox Pops,Vox Pops
Vow Renewals,Adak Yenilemeleri
Vovici,Vovici
Voting Rights,Oy Hakkı
Voting,Oylama
Voter Registration,Seçmen Kayıtları
Voter Education,Seçmen Eğitimi
Votebuilder,Votebuilder
Volunteer Training,Gönüllü Eğitimi
Volunteer Recruiting,Gönüllü Alımı
Volunteer Management,Gönüllü Yönetimi
Voluntary Sector,Gönüllü Sektörü
Voluntary Carbon Market (VCM),Gönüllü Karbon Pazarı (VCM)
Voluntary Arrangements,Gönüllü Düzenlemeler
Voluntary,Gönüllü
Volatility,Volatilite
Voicing,Seslendirme
Voiceovers,Seslendirmeler
Voice over IP (VoIP),Ses Üzerinden IP (VoIP)
Voice of the Customer,Müşterinin Ses
Voice User Interface (VUI) Design,Ses Kullanıcı Arayüzü (VUI) Tasarımı
Voice User Interface (VUI),Ses Kullanıcı Arayüzü (VUI)
Voice Services,Ses Hizmetleri
Voice Over,Ses Üstü
Voice Mail,Sesli Posta
Voice Lessons,Ses Dersleri
Voice Acting,Sesli Aktörlük
Waiting,Bekleme
Wainscoting,Wainscoting
Wage &amp; Hour,Wage &amp; Hour
Wage,Ücret
Wafer Bonding,Wafer Bağlama
Wafer,Wafer
WWII,WWII
WWAN,WWAN
WURFL,WURFL
WTX,WTX
WTT,WTT
WTP,WTP
WTL,WTL
WSS 2.0,WSS 2.0
WSRR,WSRR
WSPG,WSPG
WSIB,WSIB
WSH,WSH
WSGI,WSGI
WSAD,WSAD
WS-Trust,WS-Trust
WS-Federation,WS-Federation
WS-*,WS-*
WS,WS
WRDS,WRDS
WRAP,WRAP
WPS,WPS
WPF,WPF
WPC,WPC
WPAN,WPAN
WOTC,WOTC
WOA,WOA
WMV,WMV
WMOS,WMOS
WML,WML
WMA,WMA
WM modules,WM modülleri
WLST,WLST
WLR3,WLR3
WLI,WLI
WLAN,WLAN
WIPO,WIPO
WIP,WIP
WIC,WIC
WFC,WFC
WESB,WESB
WEP,WEP
WDS,WDS
WDM,WDM
WDF,WDF
WCS,WCS
WCF,WCF
WCDMA,WCDMA
WCB,WCB
WCAG Compliance,WCAG Uyumluluğu
WC,WC
WBTs,WBTs
WBS,WBS
JTAG,JTAG
Wavelength-Division Multiplexing (WDM),Wavelength-Division Multiplexing (WDM)
Wavelength,Dalga Boyu
Waveguide,Dalga Kılavuzu
Waveform Generators,Dalga Biçimi Üreteçleri
Waveburner,Waveburner
WavePad,WavePad
Wave Energy,Dalga Enerjisi
Watershed Management,Havza Yönetimi
Waterproofing,Su Geçirmezlik
Waterfront Property,Su Kenarı Mülkiyeti
Waterfront,Su Kenarı
Waterfall,Çağlayan
Water Treatment,Su Arıtımı
Water Tanks,Su Tankları
Water Supply,Su Temini
Water Sensitive Urban Design,Su Hassas Kentsel Tasarım
Water Resources,Su Kaynakları
Water Resource Management,Su Kaynakları Yönetimi
Water Quality,Su Kalitesi
Water Pumps,Su Pompaları
Water Engineering,Su Mühendisliği
Water Distribution,Su Dağıtımı
Water Damage Restoration,Su Hasarı Restorasyonu
Water Damage,Su Hasarı
Water Conservation,Su Koruma
Water,Su
Watches,Saatler
Waste to Energy,Atıktan Enerji
Waste Water Treatment Plants,Atık Su Arıtma Tesisleri
Waste Treatment,Atık Arıtma
Waste Reduction,Atık Azaltma
Waste Management,Atık Yönetimi
Waste Disposal,Atık Bertarafı
Waste,Atık
Warrants,Teminatlar
Warm Calling,Sıcak Çağrı
Warehousing,Depolama
Warehouse Operations,Depo Operasyonları
Warehouse Management Systems,Depo Yönetim Sistemleri
Warehouse Control,Depo Kontrolü
Wardrobing,Gardıroblama
Waltz,Waltz
Walls,Duvarlar
Wallpaper,Duvar Kağıdı
Wallets,Cüzdanlar
Wall Street,Wall Street
Wall Decor,Duvar Dekorasyonu
Walkways,Yürüyüş Yolları
Wal-Mart,Wal-Mart
Wakeboarding,Wakeboarding
Waivers Of Inadmissibility,Kabul Edilemezlikten Feragatler
HALT,HALT
Wedding Videos,Düğün Videoları
Wedding Planning,Düğün Planlaması
Wedding Management,Düğün Yönetimi
Wedding Industry,Düğün Endüstrisi
Wedding Gowns,Düğün Elbiseleri
Wedding DJ,Düğün DJ'i
Wedding Coordinating,Düğün Koordinasyonu
Wedding Cakes,Düğün Pastaları
Wedding Bands,Düğün Bantları
Website Updating,Web sitesi Güncelleme
Website Localization,Web sitesi Yerelleştirme
Website Development,Web sitesi Geliştirme
Webmaster Services,Web Yöneticisi Hizmetleri
WebSphere Portal,WebSphere Portal
WebSphere Message Broker,WebSphere Message Broker
WebSphere MQ,WebSphere MQ
WebSphere ESB,WebSphere ESB
WebSphere,WebSphere
Web Video,Web Videosu
Web Typography,Web Tipografisi
Web Testing,Web Testi
Web TV,Web TV
Web Site Production,Web sitesi Üretimi
XRY,XRY
Web Savvy,Web Savvy
Web Project Management,Web Proje Yönetimi
Web Pages,Web Sayfaları
Web Navigation,Web Navigasyonu
Web Hosting,Web Barındırma
Web Editing,Web Düzenleme
Web Design,Web Tasarımı
Web Crawling,Web Tarama
Web Content Management,Web İçerik Yönetimi
Web Content Accessibility Guidelines (WCAG),Web İçerik Erişilebilirlik Kılavuzları (WCAG)
Web Content,Web İçeriği
Web Applications,Web Uygulamaları
Web Analytics,Web Analitiği
Weather Radar,Hava Durumu Radarı
Weather Forecasting,Hava Durumu Tahmini
Weather Derivatives,Hava Durumu Türevleri
Weather,Hava Durumu
Weapons of Mass Destruction,Kitle İmha Silahları
Weapons Handling,Silah Kullanımı
Weapon Systems,Silah Sistemleri
Wealth Transfer,Servet Transferi
Wealth Management Services,Servet Yönetimi Hizmetleri
Wealth Management,Servet Yönetimi
Wealth,Servet
Wayfinding,Yön Bulma
Waxing,Ağda
Wax Carving,Mumdan heykelcilik
HACCP,HACCP
Wide Area Network (WAN),Geniş Alan Ağı (WAN)
Wicklander-Zulawski Interview &amp; Interrogation,Wicklander-Zulawski Interview &amp; Interrogation
WiMAX,WiMAX
WiFi,WiFi
Wholesale Purchasing,Toptan Satın Alma
Wholesale Operations,Toptan Operasyonlar
Wholesale Banking,Toptan Bankacılık
Wholesale,Toptan Satış
Whole Life Insurance,Tam Hayat Sigortası
Whole Life,Tam Hayat
Whole House Renovations,Tüm Ev Yenileme
Whole House Audio,Tüm Ev Ses Sistemi
XSD,XSD
Whittle,Whittle
Whitewater Kayaking,Beyaz Su Kayakçılığı
Whiteboarding,Beyaz Tahta Kullanımı
White Label,Beyaz Etiket
White Hat,White Hat
White Goods,Beyaz Eşya
White Collar Criminal Defense,Beyaz Yakalı Suç Savunması
White Box,Beyaz Kutu
White Belt,Beyaz Kuşak
Whistling,ıslık Çalma
Whisky,Viski
Whiplash,Kamçı Yaralanması
Wheelchairs,Tekerlekli Sandalye
Wheel Throwing,Çarkçılık
Wheat,Buğday
WhatsUp,WhatsUp
Wetlands,Sulak Alanlar
Wetland Science,Sulak Alan Bilimi
Wet Lab,Islak Laboratuvar
Wet Chemistry,Islak Kimya
Westlaw,Westlaw
Western analysis,Batı Blot Analizi
Western Europe,Batı Avrupa
Western Cuisine,Batı Mutfağı
West Coast Swing,Batı Yakası Swing
West Africa,Batı Afrika
Wellbeing,Refah
Well Testing,Kuyu Testi
Well Stimulation,Kuyu Stimülasyonu
Well Logging,Kuyu Loglama
Well Control,Kuyu Kontrolü
Well Completion,Kuyu Tamamlama
Weka,Weka
Weighting,Ağırlıklandırma
Weight Management,Kilo Yönetimi
Weight Loss Coaching,Kilo Verme Danışmanlığı
Weight Gain,Kilo Alma
Weibull Analysis,Weibull Analizi
Weebly,Weebly
JSR 168,JSR 168
ESM,ESM
XSI,XSI
Windows XP,Windows XP
Windows Workflow Foundation (WF),Windows İş Akışı Temelleri (WF)
Windows Vista,Windows Vista
Windows Server,Windows Server
Windows NT,Windows NT
Windows Movie Maker,Windows Movie Maker
Windows Mobile,Windows Mobile
Windows Media Encoder,Windows Media Kodlayıcı
Windows Management Instrumentation (WMI),Windows Yönetim Araçları (WMI)
Windows Embedded,Windows Embedded
Windows Domain,Windows Etki Alanı
Windows Communication Foundation (WCF),Windows İletişim Temelleri (WCF)
Windows Batch,Windows Toplu İş
Windows 8,Windows 8
Windows 7,Windows 7
Windows 10,Windows 10
Window Dressing,Pencere Dekorasyonu
Window Displays,Pencere Sergileme
Window Coverings,Pencere Kaplamaları
Window Cleaning,Pencere Temizliği
Wind Tunnel,Rüzgar Tüneli
Wind Mitigation,Rüzgar Azaltma
Wind,Rüzgar
WinForms,WinForms
Win32 API,Win32 API
Win CVS,Win CVS
Wimba,Wimba
Wily Introscope,Wily Introscope
Wills,Vasiyetler
Wildlife Photography,Yaban Hayatı Fotoğrafçılığı
Wildlife Conservation,Yaban Hayatı Koruma
Wildlife Biology,Yaban Hayatı Biyolojisi
Wildlife,Yaban Hayatı
Wildland Firefighting,Yaban Yangın Söndürme
Wildland Fire,Yaban Yangını
Wildfire,Vahşi Yangın
Wilderness First Responder,Vahşi Doğada İlk Müdahale Eden
Wilderness First Aid,Vahşi Doğada İlk Yardım
Wilderness EMT,Vahşi Doğada Acil Tıp Teknisyeni
Wilderness,Vahşi Doğa
Wikis,Vikiler
Wikipedia,Wikipedia
Wikimedia,Wikimedia
Wii,Wii
Wigs,Peruklar
Wig Making,Peruk Yapımı
Widgets,Widgetler
Widening Participation,Genişletilmiş Katılım
Wideband,Geniş Bant
Wide Orbit,Geniş Yörünge
JSON Web Token (JWT),JSON Web Token (JWT)
XDoclet,XDoclet
Work at Height,Yükseklikte Çalışma
Work Very Well with Others,Diğerleriyle Çok İyi Çalışma
Work Under Minimal Supervision,Minimal Denetim Altında Çalışma
Work Orders,İş Emirleri
Work Effectively,Etkili Çalışma
WordPress,WordPress
WordPerfect,WordPerfect
Word Of Mouth,Ağızdan Ağıza
Wool,Yün
Woodworking,Ahşap İşçiliği
Woodwind,Nefesli Çalgılar
